Work Order ID,Asset ID,Date Opened,Date Closed,Plant Zone,Problem,Priority,Tech Notes,Action Taken,Downtime Minutes,Labor Hours,Technician,Status
WO-2101,PRESS-1,2026-05-08T06:35:00,2026-05-08T07:50:00,Stamping,Hydraulic temperature warning,Medium,Temperature warning returned during first shift,Verified oil level and cleaned cooler fins,22,1.0,Maria Chen,Closed
WO-2102,PRESS-2,2026-05-08T09:05:00,2026-05-08T12:20:00,Stamping,Bearing vibration during press cycle,High,Vibration increased under load and press sounded rough,Replaced worn bearing and monitored next production run,75,3.5,Dev Patel,Closed
WO-2103,CNC-1,2026-05-09T10:15:00,2026-05-09T11:00:00,Machining,Coolant flow restriction,Low,Coolant flow was weak at tool change station,Flushed coolant nozzle and cleaned chip screen,16,0.75,Alicia Brooks,Closed
WO-2104,CNC-2,2026-05-09T13:25:00,2026-05-09T15:05:00,Machining,Intermittent spindle alarm,Medium,Spindle alarm returned after machine warmed up,Replaced loose sensor cable and tested restart cycle,34,1.75,Noah Singh,Closed
WO-2105,WELD-1,2026-05-10T07:40:00,2026-05-10T09:45:00,Welding,Torch alignment drift,Medium,Operator reported weld path shifting on same fixture,Recalibrated TCP and tightened fixture locating pin,42,2.0,Jules Rivera,Closed
WO-2106,COMP-1,2026-05-10T12:10:00,2026-05-10T15:30:00,Utilities,High discharge pressure,High,Pressure exceeded normal range during plant startup,Adjusted regulator and scheduled separator inspection,70,3.0,Maria Chen,Closed
WO-2107,CONV-1,2026-05-11T08:20:00,2026-05-11T08:55:00,Assembly,Belt tracking issue,Low,Belt drift returned at accumulation zone,Realigned idler roller and marked belt edge position,13,0.5,Dev Patel,Closed
WO-2108,PAINT-1,2026-05-11T14:15:00,2026-05-11T16:05:00,Finishing,Booth filter pressure warning,Medium,Filter pressure warning repeated after color change,Replaced secondary filter and inspected exhaust fan belt,31,1.5,Alicia Brooks,Closed
WO-2109,PRESS-2,2026-05-12T06:55:00,,Stamping,Overheating near feed motor,Critical,Feed motor area was hot and vibration was visible,Opened urgent inspection for bearing assembly and lubrication flow,96,3.25,Noah Singh,Open
WO-2110,COMP-1,2026-05-12T11:30:00,,Utilities,Oil temperature alarm,Critical,Oil temperature alarm returned after restart,Kept compressor on watch and requested cooler cleaning window,88,2.75,Jules Rivera,Open
